Company Number,Paper Filed,Last Statement URL
12820516,True,https://document-api.company-information.service.gov.uk/document/mYekMm2dm5tinUGuLs3drgeOyvdBoZifcIFvfJHhDTk
12822692,True,https://document-api.company-information.service.gov.uk/document/085ttzqWyoouZsaYQW_eW9o-daqhFlF6fXSPuTsFHQk
12822794,True,https://document-api.company-information.service.gov.uk/document/P57AZFm15L8KUMRcOKYm40D_2vZwyKz2CABhv4tkfv4
12822856,True,https://document-api.company-information.service.gov.uk/document/iPdz5R1qDffLhrpYAT48ECP-Lc-59VGydVYlrI7IbgI
12823728,True,https://document-api.company-information.service.gov.uk/document/lL3yuMHUMueQb37EVQ1puyiHs3CLlZKK9V1L97aErFg
NI672033,True,https://document-api.company-information.service.gov.uk/document/2DXEQ_KybW3Fgw0WOEldKoitUjiGhHfsbh5ThsFDIYs
11775722,True,https://document-api.company-information.service.gov.uk/document/HnMcwiccOZHAFBWu4g9RK-Q-ODtKIjqXlHdC4HIZST8
09038724,True,https://document-api.company-information.service.gov.uk/document/p2BijV1x7S2cejbf7K8NBvFm5UYRLAnu29Mu54vtEK0
11730253,True,https://document-api.company-information.service.gov.uk/document/bXV4TFOz7DtaMNJq0T6a8wh3PCLMDJ7ATjsEZj4Do5U
06836880,True,https://document-api.company-information.service.gov.uk/document/itLp0FNyTBOxx-gvXlL4OO8Jh5EBl87Q03Mbi6OdaNQ
09039405,True,https://document-api.company-information.service.gov.uk/document/Z3_Tgwn6NdzSb2KXjBl2xOLP4vV46_4GWNr-51j3XSw
01823753,True,https://document-api.company-information.service.gov.uk/document/NswHDvNTyoqoCq4O2UVsxvJ1qCQYHzWKqqa_flfN328
13198294,False,https://document-api.company-information.service.gov.uk/document/uwFR0kppCj18_LO22XQXDH1MTaxqyFCygj0ePwoV9uY
05106531,False,https://document-api.company-information.service.gov.uk/document/mmFallHQE8FygBwF73NzxJZGWCQDPRmftNDvGBf0024
07013332,True,https://document-api.company-information.service.gov.uk/document/hxpABXYjEj80W0D_kBSovGRA6eSBnrrKGa-oPJvdze4
04038783,True,https://document-api.company-information.service.gov.uk/document/giGyiSRvcOySvoP54OdVkr-YlNUHKUYQ45XVVYaUr0w
07368320,True,https://document-api.company-information.service.gov.uk/document/xdL03oJnl84_1xYe4XhiGYJtgFQu9lEMZeHJgH0Ahqo
06930633,False,https://document-api.company-information.service.gov.uk/document/MDnsZ2iQHIRDgXBaVh1DUKmHA6skvqj2p-Fgmwd0YVk
11786653,False,https://document-api.company-information.service.gov.uk/document/kcIl4cxD0OlXHCJ6tI_Z72WVthZyNqNi33R9szKhlQY
